Frame,Nose_x,Nose_y,Nose_vis,LeftEyeInner_x,LeftEyeInner_y,LeftEyeInner_vis,LeftEye_x,LeftEye_y,LeftEye_vis,LeftEyeOuter_x,LeftEyeOuter_y,LeftEyeOuter_vis,RightEyeInner_x,RightEyeInner_y,RightEyeInner_vis,RightEye_x,RightEye_y,RightEye_vis,RightEyeOuter_x,RightEyeOuter_y,RightEyeOuter_vis,LeftEar_x,LeftEar_y,LeftEar_vis,RightEar_x,RightEar_y,RightEar_vis,MouthLeft_x,MouthLeft_y,MouthLeft_vis,MouthRight_x,MouthRight_y,MouthRight_vis,LeftShoulder_x,LeftShoulder_y,LeftShoulder_vis,RightShoulder_x,RightShoulder_y,RightShoulder_vis,LeftElbow_x,LeftElbow_y,LeftElbow_vis,RightElbow_x,RightElbow_y,RightElbow_vis,LeftWrist_x,LeftWrist_y,LeftWrist_vis,RightWrist_x,RightWrist_y,RightWrist_vis,LeftPinkyFinger_x,LeftPinkyFinger_y,LeftPinkyFinger_vis,RightPinkyFinger_x,RightPinkyFinger_y,RightPinkyFinger_vis,LeftIndexFinger_x,LeftIndexFinger_y,LeftIndexFinger_vis,RightIndexFinger_x,RightIndexFinger_y,RightIndexFinger_vis,LeftThumb_x,LeftThumb_y,LeftThumb_vis,RightThumb_x,RightThumb_y,RightThumb_vis,LeftHip_x,LeftHip_y,LeftHip_vis,RightHip_x,RightHip_y,RightHip_vis,LeftKnee_x,LeftKnee_y,LeftKnee_vis,RightKnee_x,RightKnee_y,RightKnee_vis,LeftAnkle_x,LeftAnkle_y,LeftAnkle_vis,RightAnkle_x,RightAnkle_y,RightAnkle_vis,LeftHeel_x,LeftHeel_y,LeftHeel_vis,RightHeel_x,RightHeel_y,RightHeel_vis,LeftToe_x,LeftToe_y,LeftToe_vis,RightToe_x,RightToe_y,RightToe_vis
0,476.5206298828125,628.0029907226562,0.999928,477.16473388671875,618.2714233398438,0.9999039,477.2272033691406,618.3211059570312,0.9999008,477.1883544921875,618.3435668945312,0.9998977,473.17901611328125,616.5630493164062,0.99991107,470.91552734375,615.5057983398438,0.9999118,468.30352783203125,614.527587890625,0.99991107,461.9357604980469,616.1720581054688,0.99990976,454.1356506347656,613.245361328125,0.999936,469.8876037597656,635.4180908203125,0.99991584,465.4170227050781,633.5634155273438,0.9999374,437.348876953125,662.7197875976562,0.9999478,410.6315002441406,652.6890258789062,0.9999852,432.2512512207031,736.1765747070312,0.99914074,396.7899169921875,727.555908203125,0.9995592,453.44915771484375,785.7418212890625,0.9962638,435.3205261230469,791.283935546875,0.99854493,460.4569091796875,800.3079833984375,0.99457306,441.8380432128906,808.3158569335938,0.99719906,461.44073486328125,800.7617797851562,0.99490017,454.078369140625,805.2021484375,0.9975656,457.9499206542969,794.4065551757812,0.99540824,453.2869567871094,798.877685546875,0.99790895,435.2479248046875,780.7447509765625,0.9997851,418.254150390625,780.694580078125,0.9997241,536.0081787109375,788.8553466796875,0.99914074,526.45654296875,787.3287963867188,0.99936634,507.3345642089844,886.6994018554688,0.9984022,503.0740966796875,892.7972412109375,0.998103,490.29345703125,903.5449829101562,0.99823856,487.0157470703125,911.5786743164062,0.9979007,551.1431884765625,910.321044921875,0.9956346,549.5662231445312,916.5867919921875,0.9953181
1,476.3317565917969,628.8931884765625,0.99994695,476.5779724121094,619.2645263671875,0.9999286,476.680419921875,619.333740234375,0.999928,476.74920654296875,619.3837890625,0.99992394,472.8611755371094,617.6460571289062,0.99993396,470.24078369140625,616.6217651367188,0.9999349,467.7762756347656,615.7304077148438,0.9999349,461.1609802246094,617.8373413085938,0.9999324,453.58868408203125,614.997802734375,0.99995315,469.31512451171875,636.4161376953125,0.9999349,465.2877197265625,634.6110229492188,0.99995494,439.0807800292969,665.31640625,0.99995995,408.58441162109375,653.86962890625,0.99998915,432.69769287109375,740.4601440429688,0.9992735,395.668701171875,729.4635009765625,0.999617,453.6736755371094,789.1350708007812,0.9970421,434.8537902832031,791.0595703125,0.99896777,460.4377746582031,804.6517333984375,0.99565166,441.1353454589844,810.5138549804688,0.9979652,461.2772521972656,805.592529296875,0.99586606,453.53668212890625,805.5977172851562,0.998259,457.7817687988281,799.3876953125,0.99635005,452.67645263671875,798.7681274414062,0.99854493,435.3555603027344,782.0216064453125,0.9998273,415.97979736328125,784.1888427734375,0.9997677,536.9600219726562,791.6293334960938,0.9994746,523.7489013671875,788.5796508789062,0.99961996,502.2759704589844,888.8490600585938,0.99909246,499.91705322265625,894.0375366210938,0.99879813,487.8017272949219,908.3715209960938,0.99893504,481.6839904785156,914.0458374023438,0.99864894,548.9160766601562,910.4810180664062,0.99711037,546.3585205078125,915.4156494140625,0.9967269
3,475.3067626953125,627.9778442382812,0.9999329,475.1092834472656,618.2305297851562,0.9999125,475.07379150390625,618.1887817382812,0.9999138,475.0143127441406,618.1395263671875,0.99991107,472.0306701660156,617.2255859375,0.9999125,469.6022644042969,616.5352783203125,0.9999125,467.3013000488281,615.767578125,0.99990976,460.0166015625,616.838623046875,0.9999269,453.4335021972656,614.7487182617188,0.99993896,468.2609558105469,635.6030883789062,0.9999286,464.7422790527344,634.1543579101562,0.9999417,436.8267517089844,663.0545043945312,0.9999609,409.0954895019531,654.7555541992188,0.9999862,430.4695129394531,737.8238525390625,0.99921143,395.6177673339844,729.8533935546875,0.9994684,451.7325134277344,787.0255126953125,0.9959771,434.7843322753906,792.7916259765625,0.9983125,459.2259521484375,801.9412841796875,0.9941347,442.0093688964844,809.360107421875,0.99694854,460.1373291015625,802.274658203125,0.9944666,453.39337158203125,805.9890747070312,0.99731654,456.420166015625,795.7860107421875,0.99497885,452.32568359375,799.7989501953125,0.9976769,435.1479797363281,781.58203125,0.99983656,417.8284912109375,782.934814453125,0.9997565,537.6842041015625,788.8613891601562,0.9992267,528.1119384765625,788.13232421875,0.9993333,505.7370300292969,888.4937744140625,0.99871576,500.647705078125,895.6357421875,0.99850464,488.475830078125,904.4364013671875,0.99861693,481.88873291015625,912.34814453125,0.9984452,549.0171508789062,910.14013671875,0.9964064,543.0172119140625,916.7211303710938,0.99629277
4,475.01434326171875,627.4411010742188,0.99989605,474.6443786621094,617.2645263671875,0.9998785,474.51922607421875,617.1145629882812,0.9998746,474.3359375,616.9506225585938,0.9998727,471.6138000488281,616.2991333007812,0.99989283,469.1255187988281,615.5330810546875,0.99989367,466.76678466796875,614.8839111328125,0.9999001,458.4103088378906,615.678955078125,0.99989283,452.7606506347656,614.2709350585938,0.99993396,467.9533386230469,635.1619262695312,0.9998977,464.501953125,634.028564453125,0.9999263,436.6408386230469,662.9266967773438,0.9999485,407.94281005859375,654.2962036132812,0.9999877,430.4561767578125,737.319091796875,0.99910307,394.7998046875,729.0195922851562,0.9995939,451.6697998046875,788.851318359375,0.99605453,434.5199279785156,792.6331787109375,0.9988167,454.7608642578125,805.065673828125,0.99440175,440.74884033203125,811.473388671875,0.99770385,456.7352294921875,801.8095092773438,0.9947187,452.93353271484375,806.8452758789062,0.9980354,456.47088623046875,798.612060546875,0.9952448,452.0050048828125,800.2832641601562,0.9983321,435.77288818359375,781.1619873046875,0.999826,419.7462158203125,785.3467407226562,0.99979657,535.6025390625,788.7714233398438,0.99932015,528.8909912109375,787.552001953125,0.999529,500.1977844238281,887.3162841796875,0.999089,502.52496337890625,891.377685546875,0.9988883,485.3134460449219,904.228271484375,0.999015,483.54046630859375,910.8145751953125,0.9988305,541.5783081054688,909.9453125,0.9975177,549.15673828125,911.6493530273438,0.99722075
5,474.8808288574219,628.11474609375,0.9999448,474.8355712890625,618.3051147460938,0.9999274,474.8837585449219,618.3177490234375,0.99992275,474.9402160644531,618.2730712890625,0.99991846,471.8122863769531,616.86572265625,0.99993896,469.48016357421875,615.9203491210938,0.9999398,466.9312744140625,615.1832885742188,0.99994123,460.3189392089844,617.0604858398438,0.99993134,453.02734375,614.6318359375,0.9999615,468.0162353515625,635.930908203125,0.9999379,464.1824645996094,634.0574951171875,0.99996054,439.0277404785156,664.6594848632812,0.9999615,408.2216491699219,654.5892944335938,0.9999918,431.3475036621094,737.0884399414062,0.9993228,395.2760925292969,728.9762573242188,0.99968004,452.9930114746094,784.369140625,0.9970305,434.5597229003906,791.6744384765625,0.99911696,456.936279296875,800.42041015625,0.99584997,440.7171630859375,808.5874633789062,0.99823856,462.5923767089844,800.086669921875,0.99605453,453.2779235839844,805.8804931640625,0.99849296,458.20428466796875,793.0582885742188,0.9964064,452.36688232421875,799.39208984375,0.99876,434.69708251953125,781.11572265625,0.99985576,419.1839599609375,781.14404296875,0.9998118,530.68310546875,789.6824951171875,0.99954,527.9053955078125,787.1248168945312,0.9996673,501.75750732421875,887.80224609375,0.99916065,504.90875244140625,890.1524047851562,0.99898773,486.7235107421875,906.8877563476562,0.99900347,487.6065979003906,909.1904296875,0.9988927,548.0130615234375,909.7413330078125,0.99758446,552.9795532226562,912.9038696289062,0.9974291
6,474.37420654296875,628.781982421875,0.9999678,474.64251708984375,618.7783203125,0.9999553,474.78753662109375,618.7163696289062,0.99995315,474.9432067871094,618.6396484375,0.9999509,471.20794677734375,617.6213989257812,0.99996054,468.62249755859375,616.8812255859375,0.99996114,466.1300964355469,616.1732177734375,0.99996054,460.248046875,617.3303833007812,0.99995995,452.471923828125,615.0118408203125,0.9999745,467.49554443359375,636.1564331054688,0.9999627,463.6014099121094,634.4515991210938,0.99997413,435.25384521484375,664.42919921875,0.9999778,409.039306640625,654.8212280273438,0.9999945,429.8595275878906,737.0181884765625,0.9994887,396.080810546875,728.5382690429688,0.99976224,451.90069580078125,788.8035278320312,0.99776566,434.3465270996094,790.9843139648438,0.9992084,458.9181213378906,803.6642456054688,0.9967524,440.7554626464844,810.1474609375,0.9984145,459.9689636230469,805.0299682617188,0.99696034,453.1381530761719,805.8897705078125,0.9986646,456.90570068359375,798.7727661132812,0.9973061,452.4020080566406,799.2154541015625,0.9988752,433.89129638671875,781.937255859375,0.9999008,419.85986328125,783.6725463867188,0.9998776,529.9796752929688,789.5294799804688,0.99959236,527.9637451171875,787.0066528320312,0.9997017,502.3904113769531,890.08984375,0.99914074,505.58831787109375,892.2273559570312,0.99907815,488.0247802734375,907.742431640625,0.99899954,487.61083984375,912.4844970703125,0.9989956,545.7064819335938,908.7586059570312,0.9976586,552.2435302734375,912.1934814453125,0.9975656
7,474.2427062988281,628.4290161132812,0.99996626,474.2984313964844,618.8115234375,0.9999546,474.3144836425781,618.7957153320312,0.99995315,474.34783935546875,618.7857666015625,0.9999502,471.3857727050781,617.7060546875,0.99995935,469.1263427734375,616.9607543945312,0.99996054,466.7347412109375,616.1651000976562,0.99996054,459.2521667480469,617.307373046875,0.9999567,452.9107360839844,614.8358764648438,0.9999733,466.9759521484375,636.0631103515625,0.99996054,463.2066955566406,634.5838623046875,0.99997294,437.27020263671875,662.44677734375,0.9999738,408.2687683105469,653.7899169921875,0.99999404,430.8681335449219,736.939208984375,0.9995178,394.4842224121094,728.89697265625,0.9997749,452.3065490722656,784.3914794921875,0.997917,433.5671081542969,791.2569580078125,0.99929035,460.2532958984375,799.911865234375,0.9969246,438.8935546875,809.199462890625,0.99856746,461.2625732421875,800.8525390625,0.99711037,452.1654052734375,806.2107543945312,0.99877447,457.5918884277344,793.483154296875,0.9974291,450.1648864746094,799.4755249023438,0.99897975,435.72113037109375,779.9122924804688,0.99989605,419.8759460449219,780.3177490234375,0.9998776,534.5099487304688,789.3336181640625,0.99969935,527.4769287109375,787.1402587890625,0.9998134,503.89703369140625,887.8655395507812,0.99947053,503.25787353515625,891.5179443359375,0.99942964,489.7983093261719,906.8256225585938,0.9993687,484.7018737792969,909.7171630859375,0.99933845,545.6884155273438,909.2005615234375,0.99824536,548.0045166015625,913.4134521484375,0.99818975
8,475.3602294921875,627.4887084960938,0.9999274,474.866943359375,617.6325073242188,0.9999069,474.8119201660156,617.5560913085938,0.99990976,474.71759033203125,617.4315795898438,0.9999083,472.0860595703125,616.4374389648438,0.9999069,469.8623962402344,615.4568481445312,0.99990904,467.33123779296875,614.6621704101562,0.99990535,459.4812927246094,616.100341796875,0.99992514,453.59637451171875,614.0210571289062,0.999936,468.69598388671875,635.057861328125,0.99992275,465.1676940917969,633.5971069335938,0.9999398,437.6882629394531,665.4420166015625,0.9999641,408.095947265625,654.2376708984375,0.99998844,432.1377258300781,739.4105224609375,0.99922967,394.3089599609375,728.8055419921875,0.9995627,453.511962890625,786.5682983398438,0.99624926,433.45245361328125,790.3045043945312,0.99850464,456.955322265625,802.8388671875,0.9948403,438.5494079589844,809.370849609375,0.9971771,458.57049560546875,803.739501953125,0.9950755,451.177734375,805.486328125,0.9975751,458.6937255859375,796.7174682617188,0.99544394,450.7000427246094,798.7054443359375,0.99792516,434.7806091308594,781.7889404296875,0.99980444,415.1086120605469,782.6500244140625,0.9997017,534.759033203125,789.1596069335938,0.99935883,523.8572998046875,786.1354370117188,0.9994319,504.78533935546875,888.4566040039062,0.9988305,500.9713439941406,891.4139404296875,0.998487,486.54693603515625,906.5243530273438,0.9986853,484.18505859375,911.3846435546875,0.99843913,547.9947509765625,910.62744140625,0.9964619,545.6741943359375,915.3442993164062,0.99637836
9,474.08221435546875,629.1673583984375,0.9999286,474.1360778808594,619.083251953125,0.9999083,474.09686279296875,618.9967041015625,0.99990976,474.0475769042969,618.87744140625,0.99990535,471.15093994140625,617.885498046875,0.99990976,468.7389831542969,617.089599609375,0.99990976,466.4022216796875,616.3997192382812,0.99990904,458.9834289550781,617.2142944335938,0.99991965,452.6109619140625,615.2791137695312,0.99993694,467.0452575683594,636.5335083007812,0.99992275,463.634521484375,634.9928588867188,0.99993944,436.7603759765625,664.532470703125,0.99995935,408.8228759765625,654.5428466796875,0.99998677,430.5191955566406,737.284912109375,0.9993687,395.2156066894531,727.863037109375,0.99960643,450.9233703613281,788.7011108398438,0.99712163,433.3657531738281,790.9088745117188,0.9988167,458.22406005859375,803.9830932617188,0.9959299,440.2905578613281,808.4718017578125,0.9977743,459.4187927246094,804.9577026367188,0.99603915,452.39471435546875,804.903564453125,0.99805814,456.0339660644531,798.4757080078125,0.9964619,451.4852294921875,798.263427734375,0.9983125,434.28106689453125,782.1076049804688,0.9998287,418.19683837890625,783.6751098632812,0.9997508,536.5113525390625,790.5537719726562,0.9995005,522.0036010742188,789.1436767578125,0.99961996,501.05364990234375,890.3958740234375,0.99927634,500.8819885253906,893.8377075195312,0.9989556,483.850830078125,908.203369140625,0.99918324,482.32171630859375,913.7633056640625,0.99886644,544.099365234375,910.402099609375,0.9979412,546.5921630859375,914.7677001953125,0.99749833
10,474.5902099609375,628.3486328125,0.99995804,474.845703125,618.4432983398438,0.9999379,474.9820251464844,618.3921508789062,0.9999355,475.15765380859375,618.3556518554688,0.99992967,471.661865234375,617.4521484375,0.99994814,469.3250427246094,616.7408447265625,0.9999497,466.7681884765625,615.9698486328125,0.9999509,461.1353759765625,617.3544921875,0.999936,452.9632873535156,614.7493286132812,0.9999665,467.7251281738281,636.0374755859375,0.9999478,463.7215881347656,634.5125732421875,0.9999671,438.82098388671875,664.3245849609375,0.99996376,408.71759033203125,654.5198364257812,0.9999925,431.41387939453125,736.80224609375,0.9993687,395.51043701171875,728.4679565429688,0.99972624,453.0257873535156,784.7848510742188,0.99698395,433.7759704589844,791.5625610351562,0.9990564,460.41522216796875,799.7637329101562,0.99554896,440.237060546875,808.8807373046875,0.9980276,461.6116027832031,800.4804077148438,0.99584997,452.6706848144531,805.7460327148438,0.998319,458.0299987792969,793.615966796875,0.9962782,451.8783264160156,799.0933837890625,0.99861693,436.0608215332031,780.7962646484375,0.99984765,419.35296630859375,780.849609375,0.9998148,534.306884765625,789.2574462890625,0.9994579,527.111572265625,787.234619140625,0.9996458,502.55328369140625,890.4574584960938,0.99884856,504.797119140625,893.6101684570312,0.9985392,488.5879821777344,907.8102416992188,0.99863297,487.37017822265625,913.3086547851562,0.99836427,549.6710205078125,911.6393432617188,0.99648935,551.4318237304688,913.0771484375,0.99594563
